"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_35",403.6,0.1,0,0,0,0,28.6,0,732.9,81.6,85.6,152.5,307.2,870.3,127.5,152,361,308.7,296.1,108.2,28.3,28.8,112.7,75.6,0.2,17.6,59.7,2243.5,294.6,170.5,505.6,257.9,1.9,4.9,258.7,22.8,208.8,34.8,85.7,120.3,105.8,401.7,375.9,102.4,207.3,153.6,373.2,117.4,127.8,0,7004.9,0,411.4,33.6,0.9,3.9,0.2,691.7,-2224.9
"TTL_36T39",22.2,1.3,0.7,0,0,0,1.4,0.1,203.2,17.5,57.7,133.5,52.5,262.1,70.9,38.3,99.1,1141,1207.7,160.3,4.4,29.7,16.2,10.4,0.1,12.9,18.1,35.6,3824,386.6,180.3,68.6,0.4,0.2,44.7,2.6,115.6,3.8,3.2,6.7,15.1,278.9,132.1,147.3,356.2,36.8,193.8,40.9,94.6,0,2689.8,0.2,902.1,26.4,0.1,1.8,0.4,32.1,-213.6
"TTL_41T43",124.4,1,0.8,0,0,0,7.7,0.5,229.6,21.5,27.5,41.7,94.4,259.6,237.3,70.7,67.8,49.1,44.6,77.9,23.9,20,59.3,44.4,0.1,14.1,351.8,907.9,556.1,27432.4,431.7,128.2,7.8,38.2,429,14.4,138.1,36.8,43.8,121.1,89.5,1531.7,610.9,293.5,312.5,188.6,301.7,134.2,118.6,0,627.5,0.1,22.1,55913.3,1.5,20,4.5,963.6,-289.9
"TTL_45T47",1513.3,53.8,18.2,0,0,0,35.9,0.2,7172.6,564.3,438,558.4,1494.5,3610.9,2386.7,1050,707.7,1147.9,794.6,1309.4,372.7,308.9,1009.8,2199.9,1.4,137.8,889.3,269.4,213.3,5030.8,6006.6,837,80.3,199.8,557.1,129.8,1250.9,263.4,166.8,372.2,462.7,532.1,1819.4,2006,573,477.7,4799.3,182.2,246.6,0,27525.4,11.7,2563.7,9679.5,98.3,514,156.2,31063.6,-27655.9
"TTL_49",202.4,5.8,1.7,0,0,0,24.7,0.8,1770.2,96.3,207.2,265.1,407.2,717.8,328.4,264.4,484.5,453.8,336.1,392.8,57.1,97,293,300.2,0.3,36.1,250.7,493.2,111.1,1444,2064.3,2701.3,23,64.7,1242.3,704.9,141.1,85.1,35.4,33.2,66.4,99.6,313.7,392.4,156.7,86.6,402.8,35.3,68.8,0,3312.6,0,2060.4,1676.3,7.4,687.6,440.4,8915.3,-11135.5
"TTL_50",8.4,0.3,0.1,0,0,0,25.6,0,156.2,18.8,9.2,9.4,101.3,205,30.1,25.3,76.8,36,33.8,35.4,5,4.9,25.4,27.2,0,3.3,32,7,64,113.3,523,26.6,609.1,41.1,540.5,6.5,8.3,4.8,1.9,4.3,5,6.2,23.8,24.5,4.7,2.4,17.8,2.8,2.2,0,183.1,0,13.7,102.3,1,152.1,68.8,377.9,-1086.5
"TTL_51",10.8,0.5,0.1,0,0,0,1.3,0,68.6,6.8,6.7,19.6,19.1,37.6,71.7,11.1,11.2,7.8,8.4,13.5,16.2,4.1,20.7,16,0,2,16.4,4,3.4,90.2,194.9,11,23.7,197.2,267.6,126.5,9.9,6.6,1.4,11.6,53.5,6.8,158.4,169.7,55.5,89.4,21.4,28.4,11.2,0,383.1,0,17.4,31.6,0.5,474.9,311.4,1356.3,-1229.5
"TTL_52",97.4,3.3,11.7,0,0,0,38.4,0,907.8,54.3,62,138,346.2,650.9,179.2,86.7,197.2,284.8,193.7,185.8,29,46.5,202,225.6,0.2,21.1,106.6,54.5,82,999.4,2269.8,4461.6,389.6,650.2,8461.1,497.2,175.3,31.9,12.1,42.9,39.4,86.1,197.2,313.3,52.4,52.5,212.3,20.5,33.1,0,1828.2,0,4620.2,639.6,2.7,36.4,103.6,5366.6,-3234.9
"TTL_53",2.6,0,0,0,0,0,0.6,0,26.6,13.6,4.2,17.8,4.6,24.2,13.5,27.2,7.9,4,3.7,5.9,3.5,3.7,30.2,6.3,0,2.8,29.8,39.8,32.8,104.9,599.4,93.2,0.4,5.4,61,955.4,15.5,96,40.4,27.8,205.3,43.5,977.5,251.8,816,89,213.5,23.3,192.3,0,309.6,0,10.9,46.6,9.5,17.1,9,1581.8,-995.9
"TTL_55T56",13.5,0.1,0,0,0,0,0.9,0,48.7,6.6,3.4,6.5,10.8,29.1,128.3,8.7,12.9,4.4,4.9,21.2,11.2,6.3,24.8,18.3,0.1,7.5,22.2,23.7,7.6,165.2,330.2,39.3,2.3,26.8,374.1,6.4,100.4,129.3,11.4,91.4,549,36.6,327.7,412,259.4,409,650.8,127.8,255.5,0,9233.3,0.2,2.7,9,0.1,3517.9,1371.5,71.3,-3552.7
"TTL_58T60",7.9,0.2,0.1,0,0,0,0.9,0,204.5,12.6,28.1,80.9,49.8,51.7,154.3,18.2,29.1,14.7,18.2,78.2,100.4,24.4,102.9,27.2,0,6.6,30.6,18.6,9.8,194.9,953.5,43,1.6,6.9,64.1,4.4,71.2,991.4,59.4,109.7,470.2,60.3,1230.4,291.7,103.9,316.2,85.9,146.2,193.7,0,2553.3,0.2,545.8,1876.6,3.3,46.3,10.8,3695,-7135.6
